L,b,h,E,rho,damping_ratio,force_amplitude,excitation_frequency,observation_point,simulation_time,time_step,number_of_modes,f1,f2,f3,f4,peak_displacement,rms_displacement,frequency_ratio
2.3324343306107598,0.0719412221212712,0.0071214693203879,194644226488.658,7619.466981936334,0.0063334348689376,9.897619117050263,3.264875627850371,0.65,2.0,0.002,4,3.00011898290723,12.00047593162892,27.001070846165074,48.00190372651568,0.0819801293306317,0.0431947957312466,1.0882487149514923
2.459637842127608,0.0321633052737609,0.0081700968989296,219121709616.2255,7773.844144294882,0.0131816953815697,3.381492431616909,2.975716130038085,0.65,2.0,0.002,4,3.251164306111213,13.004657224444854,29.26047875500092,52.018628897779415,0.0430041175307428,0.0236641386342238,0.9152770668786662
2.3635994273963945,0.0229720965240125,0.0069680744107366,205533598552.3865,7683.773134610504,0.0151537093533661,7.813471301901745,2.0905034340033906,0.65,2.0,0.002,4,2.925151929072893,11.700607716291572,26.32636736165604,46.802430865166286,0.0698773687539344,0.0357984503815773,0.7146649079064968
2.874720643157569,0.0374282200657338,0.0111834597453154,210354569610.37143,7737.466926112343,0.021396068210083,9.948749416800812,3.839815612912094,0.65,2.0,0.002,4,3.19956332607247,12.79825330428988,28.796069934652227,51.19301321715952,0.0363415840259084,0.0170799220063733,1.2001061462426335
2.8333901561707,0.0785947994074,0.009494703445281,187007415890.0424,7687.801660379338,0.0264988514908829,8.757605431220465,2.909676105565301,0.65,2.0,0.002,4,2.645003350935238,10.580013403740953,23.80503015841715,42.32005361496381,0.0433979762971134,0.0244041948048709,1.1000651868877513
2.982796097771242,0.0344846039774535,0.0089343674107822,183702357549.53333,7821.607800828284,0.0326011656383765,7.287019571698316,1.7738002819120346,0.65,2.0,0.002,4,2.206760882214055,8.82704352885622,19.860847939926494,35.30817411542488,0.0736947924917286,0.040669813320564,0.80380266670867
2.0747972511386816,0.0467360017820797,0.0050877503401041,202978487741.5663,7899.002355105581,0.0128548572608872,9.32339303274107,3.1370322171013245,0.65,2.0,0.002,4,2.7167057549685176,10.86682301987407,24.45035179471666,43.46729207949628,0.1090848610875271,0.0590738061061043,1.154719170953307
2.858874853355398,0.0418308068615289,0.0065179916889016,186987360196.82565,7973.098430402983,0.0161203679766059,6.656461157929735,0.8425163576027745,0.65,2.0,0.002,4,1.751238633703498,7.004954534813992,15.76114770333148,28.019818139255968,0.0485727424560629,0.0288835815847508,0.4810974023688772
2.526774108286567,0.0238612569029923,0.0060284017409727,215552659320.3865,7920.17992492738,0.0446703439938972,6.540082681114261,1.7434807572920294,0.65,2.0,0.002,4,2.2336122009165944,8.934448803666378,20.10250980824935,35.73779521466551,0.1175592895598032,0.064357462580351,0.7805655594899452
2.511393018848505,0.0406971099092039,0.0074040872027463,206636588024.09973,7800.347491810708,0.0292653750945054,8.291187356131534,2.207668128136342,0.65,2.0,0.002,4,2.739794879962034,10.959179519848137,24.658153919658307,43.83671807939255,0.0571739328573918,0.0298909591464528,0.8057786165973615
2.677274269577291,0.0722651515915818,0.0072752842567473,184671673110.9327,7969.523551833633,0.0128221992110527,3.749355137321752,2.261551666640324,0.65,2.0,0.002,4,2.215529081246114,8.862116324984456,19.93976173121502,35.44846529993782,0.060180722070609,0.0258966915555965,1.0207727290893085
2.187437414013061,0.0215490196526882,0.0055308431354446,209085939846.8776,7684.066064996925,0.034538770564733,7.524229398857509,0.8388146849663083,0.65,2.0,0.002,4,2.734111318888301,10.936445275553204,24.60700186999471,43.74578110221282,0.0436729597997678,0.024685551764048,0.3067960983049414
1.854847899761588,0.0402168638942971,0.0072637963299408,208552368568.106,7949.21236555345,0.0457516692159244,8.819949086574018,4.968458311647912,0.65,2.0,0.002,4,4.903676603113208,19.614706412452836,44.13308942801888,78.45882564981133,0.0451074330547602,0.0245157896956146,1.0132108443883872
2.983540268505408,0.0541062446825431,0.0067254140364554,181817230191.1504,7916.125803897611,0.024063274643083,2.543447617229025,1.3558935772182028,0.65,2.0,0.002,4,1.641896009204116,6.567584036816464,14.777064082837043,26.27033614726585,0.0452212868032776,0.0246420056599265,0.8258096551897045
2.6797485654634783,0.0247126978299474,0.0073989138780264,195239383356.07632,7941.622205119272,0.0115063414307052,8.76683857396299,1.4212309509228978,0.65,2.0,0.002,4,2.316531628159456,9.266126512637824,20.848784653435104,37.064506050551294,0.080691496225497,0.0428928945096948,0.6135167479030288
2.811094096870918,0.0538081697637488,0.0060177317435599,190833017377.876,7883.287592163506,0.0272333582589053,5.530664627934899,2.1642175294615225,0.65,2.0,0.002,4,1.69896481582231,6.79585926328924,15.290683342400792,27.18343705315696,0.0668823166447299,0.0347879305254752,1.273844819684525
1.7630833012557925,0.0216370055758319,0.0054040364811317,202134934868.98755,7994.684791612512,0.0490898090770573,3.4390024256637317,4.236872278998494,0.65,2.0,0.002,4,3.9638925977315576,15.85557039092623,35.67503337958402,63.42228156370492,0.0441065396605431,0.0261468549720428,1.0688665685400145
2.320351628639401,0.0318437846380169,0.0062794486330986,189280998152.28,7984.782874314017,0.048305534078782,3.8809969507915865,2.024987277069479,0.65,2.0,0.002,4,2.574928135634152,10.299712542536607,23.17435322070737,41.19885017014644,0.0376655180488223,0.0201848752059686,0.7864247739755914
