model,frequency_ratio,distance_from_resonance,test_region,output,rmse,mae,r2,number_of_test_samples,prediction_time_seconds
standard_NN,0.9,0.09999999999999998,unseen_near_resonance,peak_displacement,0.03104694977696249,0.011864271623121288,0.3819935691253685,750,0.0008055409998632967
standard_NN,0.9,0.09999999999999998,unseen_near_resonance,rms_displacement,0.015971234378918862,0.006467012911422853,0.3703487484707033,750,0.0008055409998632967
standard_NN,0.95,0.050000000000000044,unseen_near_resonance,f1,0.34388436132248285,0.23478570659353568,0.9978546146050191,750,0.0007510829964303412
standard_NN,0.95,0.050000000000000044,unseen_near_resonance,f2,1.3902423080767459,0.9356057876772836,0.9978084999403963,750,0.0007510829964303412
standard_NN,0.95,0.050000000000000044,unseen_near_resonance,f3,3.053729667214678,2.0658513959186915,0.9979113934992278,750,0.0007510829964303412
standard_NN,0.95,0.050000000000000044,unseen_near_resonance,f4,5.4350776069553275,3.7058363765206495,0.9979066010510111,750,0.0007510829964303412
standard_NN,0.95,0.050000000000000044,unseen_near_resonance,peak_displacement,0.04157170445655674,0.018019067336417567,0.25641920257325657,750,0.0007510829964303412
standard_NN,0.95,0.050000000000000044,unseen_near_resonance,rms_displacement,0.019668038392750428,0.009138396199975425,0.2587249093573539,750,0.0007510829964303412
standard_NN,1.0,0.0,unseen_near_resonance,f1,0.34940263778951486,0.23751553668609798,0.9977852086109533,750,0.0007340000011026859
standard_NN,1.0,0.0,unseen_near_resonance,f2,1.4086232689429172,0.9425871369453622,0.9977501674207142,750,0.0007340000011026859
standard_NN,1.0,0.0,unseen_near_resonance,f3,3.0933334761685,2.081106120510666,0.9978568679461028,750,0.0007340000011026859
standard_NN,1.0,0.0,unseen_near_resonance,f4,5.5009186569498745,3.7287495278727874,0.9978555745717635,750,0.0007340000011026859
standard_NN,1.0,0.0,unseen_near_resonance,peak_displacement,0.04657168721909045,0.022754961483364894,0.1720218709886795,750,0.0007340000011026859
standard_NN,1.0,0.0,unseen_near_resonance,rms_displacement,0.021201699892029528,0.010743647581009834,0.19144632695163166,750,0.0007340000011026859
standard_NN,1.05,0.050000000000000044,unseen_near_resonance,f1,0.35154568138213144,0.23920930603942944,0.9977579566679688,750,0.0006510000021080486
standard_NN,1.05,0.050000000000000044,unseen_near_resonance,f2,1.4136526418957116,0.9473129573769429,0.997734073057587,750,0.0006510000021080486
standard_NN,1.05,0.050000000000000044,unseen_near_resonance,f3,3.1017333760400074,2.091189268570958,0.997845212858147,750,0.0006510000021080486
standard_NN,1.05,0.050000000000000044,unseen_near_resonance,f4,5.514377340099987,3.741784779003178,0.9978450685270933,750,0.0006510000021080486
standard_NN,1.05,0.050000000000000044,unseen_near_resonance,peak_displacement,0.04101311738765447,0.01776030030916945,0.25255893141476304,750,0.0006510000021080486
standard_NN,1.05,0.050000000000000044,unseen_near_resonance,rms_displacement,0.019418033866109633,0.009035251590570063,0.2520062334502148,750,0.0006510000021080486
standard_NN,1.1,0.10000000000000009,unseen_near_resonance,f1,0.35057814749085325,0.24010612654118327,0.9977702809142037,750,0.0006412920047296211
standard_NN,1.1,0.10000000000000009,unseen_near_resonance,f2,1.40740580757205,0.948014997418264,0.997754054763246,750,0.0006412920047296211
standard_NN,1.1,0.10000000000000009,unseen_near_resonance,f3,3.084915938777795,2.0928011575175156,0.997868515800676,750,0.0006412920047296211
standard_NN,1.1,0.10000000000000009,unseen_near_resonance,f4,5.48197819751212,3.731492723701701,0.9978703162835726,750,0.0006412920047296211
standard_NN,1.1,0.10000000000000009,unseen_near_resonance,peak_displacement,0.030152083557513303,0.011711073507656147,0.37160558988613956,750,0.0006412920047296211
standard_NN,1.1,0.10000000000000009,unseen_near_resonance,rms_displacement,0.015769649740282297,0.00640019090467903,0.35350494749959593,750,0.0006412920047296211
standard_NN,1.2,0.19999999999999996,seen_off_resonance,f1,0.34440667879420495,0.23985159000343753,0.9978480925097668,750,0.000852041004691273
standard_NN,1.2,0.19999999999999996,seen_off_resonance,f2,1.3794676445551917,0.9466368524797965,0.9978423374578835,750,0.000852041004691273
