model,training_percentage,training_samples,repeat,epoch,training_loss,validation_loss
physics_guided_NN,75,2625,1,160,0.0025938997062742906,0.010192609392106533
physics_guided_NN,75,2625,1,161,0.00147824467906806,0.010577616281807423
physics_guided_NN,75,2625,1,162,0.0011830448784166947,0.010981629602611065
physics_guided_NN,75,2625,1,163,0.0014481255618323172,0.010600563138723373
physics_guided_NN,75,2625,1,164,0.0014614918376797245,0.010595379397273064
physics_guided_NN,75,2625,1,165,0.00129349959786937,0.01034170389175415
physics_guided_NN,75,2625,1,166,0.0015452559611211264,0.010556941851973534
physics_guided_NN,75,2625,1,167,0.0013707476221801092,0.011132841929793358
physics_guided_NN,75,2625,1,168,0.001316622786578678,0.01037003193050623
physics_guided_NN,75,2625,1,169,0.0011301517390945395,0.011182820424437523
physics_guided_NN,75,2625,1,170,0.0011768993748167607,0.011835074052214622
physics_guided_NN,75,2625,1,171,0.0009662652467211176,0.010554289445281029
physics_guided_NN,75,2625,1,172,0.0010006940553596775,0.011835274286568165
physics_guided_NN,75,2625,1,173,0.0014607667606989188,0.01208472903817892
physics_guided_NN,75,2625,1,174,0.0014151013802759173,0.010882271453738213
physics_guided_NN,75,2625,1,175,0.0013695344151485535,0.011334715411067009
physics_guided_NN,75,2625,1,176,0.0011585757993522012,0.010057901963591576
physics_guided_NN,75,2625,1,177,0.0012342359314927655,0.009552889503538609
physics_guided_NN,75,2625,1,178,0.0014135318605916663,0.011590216308832169
physics_guided_NN,75,2625,1,179,0.0015268390298366458,0.015110278502106667
physics_guided_NN,75,2625,1,180,0.0031089414508512292,0.008699024096131325
physics_guided_NN,75,2625,1,181,0.003391589850209476,0.012579505331814289
physics_guided_NN,75,2625,1,182,0.003605199072765009,0.020350124686956406
physics_guided_NN,75,2625,1,183,0.029707329289522022,0.02266816794872284
physics_guided_NN,75,2625,1,184,0.012139294557051645,0.020394161343574524
physics_guided_NN,75,2625,1,185,0.0075061234750873635,0.01715165004134178
physics_guided_NN,75,2625,1,186,0.002900941640421349,0.00939235556870699
physics_guided_NN,75,2625,1,187,0.0016642016687131087,0.009967545047402382
physics_guided_NN,75,2625,1,188,0.0015860203261365228,0.009708991274237633
physics_guided_NN,75,2625,1,189,0.002408565357091859,0.010151057504117489
physics_guided_NN,75,2625,1,190,0.001463542466462102,0.009911640547215939
physics_guided_NN,75,2625,1,191,0.0013011398037806863,0.00882980227470398
physics_guided_NN,75,2625,1,192,0.003016922211307766,0.012886270880699158
physics_guided_NN,75,2625,1,193,0.02401813784603118,0.01818419061601162
physics_guided_NN,75,2625,1,194,0.003789210227772682,0.012457272969186306
physics_guided_NN,75,2625,1,195,0.0021583518066022192,0.00902576744556427
physics_guided_NN,75,2625,1,196,0.001969756059181583,0.011356627568602562
physics_guided_NN,75,2625,1,197,0.0023608189394941463,0.01379775907844305
physics_guided_NN,75,2625,1,198,0.0031128429344833074,0.014788252301514149
physics_guided_NN,75,2625,1,199,0.001982928035604779,0.009318511933088303
physics_guided_NN,75,2625,1,200,0.001527376749436371,0.010272619314491749
physics_guided_NN,75,2625,1,201,0.001977268618897402,0.008691519498825073
physics_guided_NN,75,2625,1,202,0.0017293546892081697,0.009317015297710896
physics_guided_NN,75,2625,1,203,0.0010058773041237146,0.009638120420277119
physics_guided_NN,75,2625,1,204,0.0008886878120912505,0.009912179782986641
physics_guided_NN,75,2625,1,205,0.0011080131508130026,0.009237298741936684
physics_guided_NN,75,2625,1,206,0.0009028443850443832,0.01023765280842781
physics_guided_NN,75,2625,1,207,0.0008988389285410189,0.009707404300570488
physics_guided_NN,75,2625,1,208,0.0008057176497199439,0.009909202344715595
physics_guided_NN,75,2625,1,209,0.0008419288261350067,0.009599455632269382
physics_guided_NN,75,2625,1,210,0.000791738649630653,0.009126543067395687
physics_guided_NN,75,2625,1,211,0.0007835744746400797,0.009865947999060154
physics_guided_NN,75,2625,1,212,0.0009198126173855382,0.00936336163431406
physics_guided_NN,75,2625,1,213,0.003961008669908291,0.014770464040338993
physics_guided_NN,75,2625,1,214,0.0016667589897267697,0.008528229780495167
physics_guided_NN,75,2625,1,215,0.0010603162615249555,0.009058495052158833
physics_guided_NN,75,2625,1,216,0.000921170979295095,0.009611680172383785
physics_guided_NN,75,2625,1,217,0.0008827181882224977,0.009383120574057102
physics_guided_NN,75,2625,1,218,0.0008871288016615879,0.009197765961289406
physics_guided_NN,75,2625,1,219,0.0008582755853283396,0.009520034305751324
